machine,nu,train_normal_files,test_normal_files,test_anomaly_files,accuracy,roc_auc,normal_precision,normal_recall,anomaly_precision,anomaly_recall,anomaly_f1,tn,fp,fn,tp
fan,0.01,3675,400,1475,0.39093333333333335,0.6174677966101696,0.2503364737550471,0.93,0.9280205655526992,0.2447457627118644,0.3873390557939914,372,28,1114,361
fan,0.03,3675,400,1475,0.39093333333333335,0.6171593220338982,0.2503364737550471,0.93,0.9280205655526992,0.2447457627118644,0.3873390557939914,372,28,1114,361
fan,0.05,3675,400,1475,0.3957333333333333,0.6184254237288136,0.25118805159538354,0.925,0.9253731343283582,0.2522033898305085,0.3963771976558338,370,30,1103,372
fan,0.1,3675,400,1475,0.41226666666666667,0.6139491525423729,0.2503556187766714,0.88,0.8976545842217484,0.2854237288135593,0.4331275720164609,352,48,1054,421
fan,0.2,3675,400,1475,0.4736,0.6042661016949152,0.2572373862696443,0.7775,0.8663663663663663,0.3911864406779661,0.539000467071462,311,89,898,577
fan,0.3,3675,400,1475,0.5429333333333334,0.6005338983050847,0.26988922457200404,0.67,0.8503401360544217,0.5084745762711864,0.6364022061943148,268,132,725,750
pump,0.01,3349,400,456,0.647196261682243,0.7362280701754387,0.5737951807228916,0.9525,0.9010416666666666,0.3793859649122807,0.5339506172839507,381,19,283,173
pump,0.03,3349,400,456,0.6436915887850467,0.735531798245614,0.5716440422322775,0.9475,0.8911917098445595,0.37719298245614036,0.5300462249614792,379,21,284,172
pump,0.05,3349,400,456,0.6378504672897196,0.7333223684210526,0.5694444444444444,0.9225,0.8509615384615384,0.3881578947368421,0.5331325301204819,369,31,279,177
pump,0.1,3349,400,456,0.6518691588785047,0.7220449561403509,0.5830618892508144,0.895,0.8264462809917356,0.43859649122807015,0.5730659025787965,358,42,256,200
pump,0.2,3349,400,456,0.6355140186915887,0.7024725877192982,0.5802919708029197,0.795,0.7337662337662337,0.4956140350877193,0.5916230366492147,318,82,230,226
pump,0.3,3349,400,456,0.6191588785046729,0.6854331140350877,0.5748987854251012,0.71,0.6795580110497238,0.5394736842105263,0.6014669926650367,284,116,210,246
valve,0.01,3291,400,479,0.5130830489192264,0.6278027139874739,0.48205128205128206,0.94,0.7575757575757576,0.15657620041753653,0.25951557093425603,376,24,404,75
valve,0.03,3291,400,479,0.5108077360637088,0.628241127348643,0.4807692307692308,0.9375,0.7474747474747475,0.1544885177453027,0.2560553633217993,375,25,405,74
valve,0.05,3291,400,479,0.5176336746302617,0.6252557411273486,0.4844559585492228,0.935,0.7570093457943925,0.16910229645093947,0.2764505119453925,374,26,398,81
valve,0.1,3291,400,479,0.5267349260523322,0.623580375782881,0.4887955182072829,0.8725,0.6909090909090909,0.23799582463465555,0.35403726708074534,349,51,365,114
valve,0.2,3291,400,479,0.5870307167235495,0.6163413361169102,0.5305785123966942,0.8025,0.7116788321167883,0.407098121085595,0.5179282868525896,321,79,284,195
valve,0.3,3291,400,479,0.5881683731513083,0.6091544885177453,0.5369649805447471,0.69,0.6602739726027397,0.5031315240083507,0.5710900473933649,276,124,238,241
