machine,nu,train_normal_files,test_normal_files,test_anomaly_files,accuracy,roc_auc,normal_precision,normal_recall,anomaly_precision,anomaly_recall,anomaly_f1,tn,fp,fn,tp
fan,0.01,3675,400,1475,0.26986666666666664,0.5617084745762713,0.2181500872600349,0.9375,0.8397435897435898,0.0888135593220339,0.16063764561618638,375,25,1344,131
fan,0.03,3675,400,1475,0.2714666666666667,0.5617423728813559,0.21853146853146854,0.9375,0.8427672955974843,0.09084745762711864,0.16401468788249693,375,25,1341,134
fan,0.05,3675,400,1475,0.2773333333333333,0.5655694915254237,0.21895232489699823,0.93,0.8409090909090909,0.10033898305084746,0.17928528164748636,372,28,1327,148
fan,0.1,3675,400,1475,0.30293333333333333,0.560984745762712,0.22057917436845348,0.895,0.8333333333333334,0.1423728813559322,0.24319629415170815,358,42,1265,210
fan,0.2,3675,400,1475,0.37333333333333335,0.5514728813559322,0.22419928825622776,0.7875,0.8191489361702128,0.26101694915254237,0.39588688946015427,315,85,1090,385
fan,0.3,3675,400,1475,0.43466666666666665,0.5436033898305086,0.225,0.675,0.8074074074074075,0.3694915254237288,0.5069767441860465,270,130,930,545
pump,0.01,3349,400,456,0.5455607476635514,0.6845065789473685,0.507343124165554,0.95,0.8130841121495327,0.19078947368421054,0.30905861456483125,380,20,369,87
pump,0.03,3349,400,456,0.5549065420560748,0.682905701754386,0.5128205128205128,0.95,0.8260869565217391,0.20833333333333334,0.3327495621716287,380,20,361,95
pump,0.05,3349,400,456,0.5584112149532711,0.6782949561403508,0.5151515151515151,0.935,0.8,0.22807017543859648,0.35494880546075086,374,26,352,104
pump,0.1,3349,400,456,0.5899532710280374,0.6904934210526316,0.5371775417298937,0.885,0.766497461928934,0.33114035087719296,0.46248085758039814,354,46,305,151
pump,0.2,3349,400,456,0.6238317757009346,0.7005646929824563,0.5701438848920863,0.7925,0.7233333333333334,0.4758771929824561,0.5740740740740741,317,83,239,217
pump,0.3,3349,400,456,0.6179906542056075,0.6938377192982457,0.5809312638580931,0.655,0.6592592592592592,0.5855263157894737,0.6202090592334495,262,138,189,267
valve,0.01,3291,400,479,0.5301478953356087,0.6212265135699373,0.49165596919127086,0.9575,0.83,0.1732776617954071,0.2867012089810017,383,17,396,83
valve,0.03,3291,400,479,0.5335608646188851,0.621080375782881,0.4935064935064935,0.95,0.8165137614678899,0.18580375782881003,0.30272108843537415,380,20,390,89
valve,0.05,3291,400,479,0.5494880546075085,0.6290187891440501,0.5026809651474531,0.9375,0.8120300751879699,0.2254697286012526,0.35294117647058826,375,25,371,108
valve,0.1,3291,400,479,0.571103526734926,0.6348747390396658,0.5163120567375886,0.91,0.7931034482758621,0.2881002087682672,0.4226646248085758,364,36,341,138
valve,0.2,3291,400,479,0.6200227531285551,0.6371555323590814,0.5557432432432432,0.8225,0.7526132404181185,0.4509394572025052,0.5639686684073107,329,71,263,216
valve,0.3,3291,400,479,0.6177474402730375,0.6277192066805845,0.565843621399177,0.6875,0.6819338422391857,0.5594989561586639,0.6146788990825688,275,125,211,268
